,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
01/02/1997,,,692.50442221,11596.25360535,10903.74918314,199,,,692.20442221,8267.35360535,1837.9570076,5737.19217554,0.3,3328.9,,,,,,,,,,,,,,,,3328.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.50442221,692.50442221,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1997,,,1692.45672783,13069.05719637,11376.60046854,204,,,1808.05672783,9747.85719637,1703.14075178,6236.65971676,-115.6,3321.2,3.05744192,5.9635338,0.37901747,,5.95973692,,2.4274374,2.67292848,5.67303093,,,,,,,3436.8,,,,,,,,,,,,,,,,,,,741182,,,,,,108069.4,63123.34,,,,,,,,,,,,,,,,,,1692.45672783,1692.45672783,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1997,,,1602.15548581,13388.17168242,11786.01619661,205,,,1568.65548581,9990.07168242,2089.57359456,6331.84260205,33.5,3398.1,,,,,,,,,,,,,,,,3364.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.15548581,1602.15548581,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1997,,,283.30342246,12508.21311038,12224.90968792,207,,,319.07242246,9034.98211038,2127.94438933,6587.96529859,-35.769,3473.231,,,,,,,,,,,,,,,,3509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.30342246,283.30342246,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1997,,,183.52038265,11824.05682991,11640.53644726,215,,,249.82038265,8350.95682991,1702.05760102,6399.07884624,-66.3,3473.1,5.34432355,7.18308749,-1.7079711,,5.31614091,,3.4572457,0.82549742,7.36080611,,,,,,,3539.4,,,,,,,,,,,,,,,,,,,756703,,,,,,109894.8,63482.69,,,,,,,,,,,,,,,,,,183.52038265,183.52038265,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1997,,,-39.18771141,13248.00080947,13287.18852088,222,,,98.41768859,9655.79080947,1848.36869353,7709.00442736,-137.6054,3592.21,,,,,,,,,,,,,,,,3729.8154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.18771141,-39.18771141,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1997,,,1626.1384501,13393.3543504,11767.2159003,234,,,1812.4994501,9817.6743504,1919.57135058,6085.60354972,-186.361,3575.68,,,,,,,,,,,,,,,,3762.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.1384501,1626.1384501,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1997,,,-691.93530353,12771.90618068,13463.84148421,245,,,-516.32180353,9125.58018068,2555.59461012,7086.30737409,-175.6135,3646.326,4.63910007,6.30660541,-3.07832374,,6.08865115,,4.16841349,1.00659197,6.40678044,,,,,,,3821.9395,,,,,,,,,,,,,,,,,,,823704,,,,,,105920.8,61925.41,,,,,,,,,,,,,,,,,,-691.93530353,-691.93530353,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1997,,,-790.43946205,13497.08522959,14287.52469164,240,,,-621.78371705,9829.93022959,2262.74597546,8188.96797118,-168.655745,3667.155,,,,,,,,,,,,,,,,3835.810745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-790.43946205,-790.43946205,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1997,,,303.92906482,12991.68665449,12687.75758967,247,,,872.20746732,9351.87665449,2200.40201158,6279.26717559,-568.2784025,3639.81,,,,,,,,,,,,,,,,4208.0884025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.92906482,303.92906482,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1997,33347.51896064,,-1433.52223028,18434.10547719,19867.62770747,255,,3173240,92.50187488,12847.96047719,2352.68190416,10402.77669815,-1526.02410515,5586.145,5.1689455,1.08250995,-6.33032041,,7.06735838,,2.00946682,-0.1187216,4.28728093,,,,,,,7112.16910515,,,,,,,,,,,,,,,,,,,850915,,,,,,101959.8,59408.74,,,,,,,,,,,,8280.84034186,,,,,,-1433.52223028,-1433.52223028,,,,,232.88485106,,,,,,,,,,,,,,2182.70932304,,,,,,
01/01/1998,,,-2185.46237096,15390.44146687,17575.90383783,185.9,,,803.86364472,11689.33846687,2770.86453696,8114.61028519,-196.954,3701.103,,,,,,,,,,,55.5,46.9,47.9,,50.2,3898.057,,,,,,,,,,,,,,,,,,,,,53.5,48.1,,56.5,,,,,,,,,,,,,,,,,,,2792.37201568,606.90964472,-2185.46237096,48.7,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1998,,,-2487.07179661,13199.19134005,15686.26313666,182.1,,,648.11221252,9636.78434005,2119.99520345,6868.67692408,-307.956,3562.407,,,,,,,,,,,55.7,45.9,49.9,,50.9,3870.363,,,,,,,,,,,,,,,,,,,,,53.6,48,,55.6,,,,,,,,,,,,,,,,,,,2827.22800913,340.15621252,-2487.07179661,49.8,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1998,,,-439.41978003,17814.42420045,18253.84398048,197.6,,,2706.13039993,14222.55020045,2772.43866839,8743.98113213,-303.48,3591.874,5.29734985,-2.79407825,-5.83174011,,5.43191613,,2.42975553,-1.52720652,-3.60827733,,56,43.9,48.5,,50.7,3895.354,,,,,,,,,,,,,,,,,,,1059771,,53.8,47.9,,56.1,98579.37,57327.54,,,,,,,,,,,,,,,,,2842.07017996,2402.65039993,-439.41978003,50.1,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1998,,,-1447.36820415,15669.69998705,17117.0681912,203.4,,,2290.73406838,12161.74098705,2680.6121549,7190.39476377,-447.139,3507.959,,,,,,,,,,,55.3,42.3,49.9,,50.5,3955.098,,,,,,,,,,,,,,,,,,,,,53.7,47.3,,56.3,,,,,,,,,,,,,,,,,,,3290.96327253,1843.59506838,-1447.36820415,49.8,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1998,,,-2595.72479124,13517.95185123,16113.67664247,191,,,149.03515864,9736.54885123,2518.25458672,7069.25910587,-169.715,3781.403,,,,,,,,,,,54.2,41.6,48.9,,50.6,3951.118,,,,,,,,,,,,,,,,,,,,,52.7,47.5,,54.1,,,,,,,,,,,,,,,,,,,2575.04494988,-20.67984136,-2595.72479124,49.6,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1998,,,-4998.57084866,12474.79400794,17473.3648566,212.2,,,-1425.96642291,8776.25300794,1890.26975049,8311.94968036,-365.788,3698.541,3.24556434,-6.15783609,-12.20257394,,4.16336253,,-0.45901064,-1.27587962,-7.42729885,,52.8,40.5,48.5,,49.2,4064.329,,,,,,,,,,,,,,,,,,,1111921,,51.5,48.2,,53.1,93842.19,55065.05,,,,,,,,,,,,,,,,,3206.81642575,-1791.75442291,-4998.57084866,47.8,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1998,,,-2866.95843527,13744.35290572,16611.31134099,212.8,,,751.83563841,10227.41290572,1966.98585993,7508.59140738,-720.3,3516.94,,,,,,,,,,,52,38.7,47.3,,48.1,4237.24,,,,,,,,,,,,,,,,,,,,,51,49.5,,53.4,,,,,,,,,,,,,,,,,,,2898.49407368,31.53563841,-2866.95843527,48,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1998,,,2763.96508822,20363.90873099,17599.94364277,221.9,,,6196.29225561,16527.08873099,2471.59159822,7859.20487716,-430.713,3836.82,,,,,,,,,,,51.4,38.7,46.2,,48.4,4267.533,,,,,,,,,,,,,,,,,,,,,50.7,50.1,,52.9,,,,,,,,,,,,,,,,,,,3001.61416739,5765.57925561,2763.96508822,47.8,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1998,,,-4834.75054137,13435.94253093,18270.6930723,264.2,,,-93.58450771,9779.33053093,2384.11930553,7488.79573311,-638.224,3656.612,5.0984637,-8.13185638,-9.96955658,,4.38627267,,-1.2246306,-1.32499317,-6.75099813,,51,36.2,45,,47.3,4294.836,,,,,,,,,,,,,,,,,,,1313939,,49.3,50.7,,50.2,91460.94,53498.7,,,,,,,,,,,,,,,,,4102.94203366,-731.80850771,-4834.75054137,46.4,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1998,,,-7009.61867304,13112.17331349,20121.79198653,272.1,,,-759.67218664,9451.72331349,2094.66061522,8116.73488492,-650.750222,3660.45,,,,,,,,,,,50.4,34.4,43.5,,46.4,4311.200222,,,,,,,,,,,,,,,,,,,,,48.1,52.5,,47.4,,,,,,,,,,,,,,,,,,,5599.19626439,-1410.42240864,-7009.61867304,48.3,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1998,,,-6489.22098576,14546.4240794,21035.64506516,248.7,,,241.69884446,11149.4990794,2208.44678217,8699.35345278,-1346.63109525,3396.925,,,,,,,,,,,48.7,34.4,42.5,,45.8,4743.55609525,,,,,,,,,,,,,,,,,,,,,47.1,53.1,,46.7,,,,,,,,,,,,,,,,,,,5384.28873497,-1104.93225079,-6489.22098576,47.1,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1998,34554.01839667,,-3353.34468395,20246.89980371,23600.24448766,313.1,,4836609,3314.57914846,13874.13148257,2657.09235242,7902.45998169,-1514.19783471,6372.76832114,5.25741137,-6.39050002,-2.4225639,,2.92584123,,2.37261425,-0.59218478,-4.02919789,,47.3,33.2,43.7,,43.8,7886.96615585,,,,,,,,,,,,,,,,,,,1273642,,46.4,54.2,,48,96434.57,56216.7,,,,,,,,,,,,9105.51395507,,,,,5153.7259977,1800.38131375,-3353.34468395,45.7,,,,277.06288402,,,,,,,,,,,,,,2417.34483303,,,,,,
01/01/1999,,,-1506.448319,14978.22425582,16484.67257482,254,,,1561.90803223,11417.48435805,3136.04611856,6719.53020726,-760.03635123,3560.73989777,,,,,,,,,,,51.7,33.5,46.6,,45.2,4320.776249,,,,,,,,,,,,,,,,,,,,,48.7,52.8,,50.2,,,,,,,,,,,,,,,,,,,2308.32,801.871681,-1506.448319,46.1,,,,,,,,,,,,,,,,,,,,,,,,
01/02/1999,,,-1867.47724391,16079.33945955,17946.81670346,265,,,2265.15996025,12490.87802271,3179.83681915,7045.88124331,-679.24720416,3588.46143684,,,,,,,,,,,52.5,34.8,49,,46.1,4267.708641,,,,,,,,,,,,,,,,,,,,,49.9,52.1,,52.2,,,,,,,,,,,,,,,,,,,3453.39,1585.91275609,-1867.47724391,46.7,,,,,,,,,,,,,,,,,,,,,,,,
01/03/1999,,,-3771.27962221,19740.67536618,23511.95498839,304.1,,,5232.0235488,16024.37649019,3457.88048838,7334.47245301,-608.55317101,3716.29887599,5.27771422,-3.09340067,0.94732207,0.48694154,6.04376911,,3.41211183,-0.73861507,6.36035412,,53.3,39.9,48.1,,47.2,4324.852047,,,,,,,,,,,,,,,,,,,1364464,,50.7,50.9,,53.1,99370.84,58208.56,,,,,,,,,,,,,,,,,8394.75,4623.47037779,-3771.27962221,46.9,,,,,,,,,,,,,,,,,,,,,,,,
01/04/1999,,,-1454.51845975,16212.68368833,17667.20214808,324,,,3066.3366847,12369.95084878,2891.8231898,6411.79097428,-507.04514445,3842.73283955,,,,,,,,,,,54.6,44.2,49.6,,47.8,4349.777984,,,,,,,,,,,,,,,,,,,,,51.3,52,,53.3,,,,,,,,,,,,,,,,,,,4013.81,2559.29154025,-1454.51845975,48.5,,,,,,,,,,,,,,,,,,,,,,,,
01/05/1999,,,-1833.49902541,14500.14524568,16333.64427109,332,,,17.119932,10736.64119109,3187.54867082,7531.97258827,-610.54895741,3763.50405459,,,,,,,,,,,55.9,47.7,49.9,,48.6,4374.053012,,,,,,,,,,,,,,,,,,,,,52.3,50.5,,55.1,,,,,,,,,,,,,,,,,,,1240.07,-593.42902541,-1833.49902541,46.9,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1999,,,-3954.36636351,17652.42784756,21606.79421107,364,,,4419.93485037,13797.53532444,2181.00390754,7196.59656653,-587.41121388,3854.89252312,4.66600398,0.7202939,5.65110985,3.00469359,7.02798389,,4.6729521,0.01796473,11.89011462,,57.9,49.6,51.2,,49,4442.303737,,,,,,,,,,,,,,,,,,,1341502,,53.5,49.6,,56.5,102971,60810.62,,,,,,,,,,,,,,,,,7786.89,3832.52363649,-3954.36636351,47.5,,,,,,,,,,,,,,,,,,,,,,,,
01/07/1999,,,-3225.74214536,17913.23283931,21138.97498467,387.1,,,2967.42427064,13994.95400131,2622.50623817,8405.0234925,-712.886416,3918.278838,,,,,,,,,,,56.8,52.2,51.8,,49.1,4631.165254,,,,,,,,,,,,,,,,,,,,,53.1,48.6,,55.5,,,,,,,,,,,,,,,,,,,5480.28,2254.53785464,-3225.74214536,47.3,,,,,,,,,,,,,,,,,,,,,,,,
01/08/1999,,,-166.60949348,17636.99943539,17803.60892887,420.6,,,3393.10350053,13703.41019939,2717.76851358,7592.53818529,-687.852994,3933.589236,,,,,,,,,,,57.5,56.4,53.6,,50.3,4621.44223,,,,,,,,,,,,,,,,,,,,,54.1,48.9,,57.2,,,,,,,,,,,,,,,,,,,2871.86,2705.25050653,-166.60949348,48.2,,,,,,,,,,,,,,,,,,,,,,,,
01/09/1999,,,1587.40377661,18077.75548925,16490.35171264,462.2,,,4274.34881461,14163.47300225,2576.69103381,7312.43315383,-709.205038,3914.282487,3.86529969,4.39979787,7.84289248,4.03781484,5.63356991,,5.24155995,0.40626872,13.0861474,,58.8,61.3,54.6,,50.2,4623.487525,,,,,,,,,,,,,,,,,,,1365909,,55.7,46.6,,60.7,104159.4,61452.66,,,,,,,,,,,,,,,,,1977.74,3565.14377661,1587.40377661,47.3,,,,,,,,,,,,,,,,,,,,,,,,
01/10/1999,,,-2640.1735782,16467.14815669,19107.32173489,445.9,,,1399.7403078,12566.54459269,2873.77191853,8293.03236636,-826.523886,3900.603564,,,,,,,,,,,59.3,64.9,54.9,,51.4,4727.12745,,,,,,,,,,,,,,,,,,,,,56.5,45,,60.6,,,,,,,,,,,,,,,,,,,3213.39,573.2164218,-2640.1735782,49.9,,,,,,,,,,,,,,,,,,,,,,,,
01/11/1999,,,-435.89689169,17132.39012049,17568.28701218,451.3,,,2069.54210831,13199.53660049,2947.69994384,8182.29454834,-1220.809,3932.85352,,,,,,,,,,,59.5,63.4,55.2,,51.7,5153.66252,,,,,,,,,,,,,,,,,,,,,57,44.1,,61.3,,,,,,,,,,,,,,,,,,,1284.63,848.73310831,-435.89689169,50.1,,,,,,,,,,,,,,,,,,,,,,,,
01/12/1999,36030.34531972,,-7626.12180205,22854.69239656,30480.81419861,490,,5489675,-284.26179805,15715.64607656,3129.173401,12870.73447361,-1564.620004,7139.04632,4.0082216,8.26745861,4.23505238,4.84526524,8.15047221,,4.52407423,-0.31537461,13.80590359,,59.9,63.5,55.1,,52.7,8703.666324,,,,,,,,,,,,,,,,,,,1350072,,57.1,43.6,,60.2,105536,61889.51,,,,,,,,,,,,9873.92784207,,,,,5777.24,-1848.88180205,-7626.12180205,50.6,,,,356.17488793,,,,,,,,,,,,,,2787.95020578,,,,,,
01/01/2000,,,-1442.64886358,18293.94075084,19736.58961442,385.5,,,2249.61106739,14347.9664312,3377.52415402,8720.83120979,-725.83993097,3945.97431964,,,,,,,,,,,57.2,67,53,,50.9,4671.81425061,,,,,,,,,,,,,,,,,,,,,55.4,47,,59.2,,,,,,,,,,,,,,,,,,,2966.42,1523.77113642,-1442.64886358,51.9,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2000,,,-2545.09855908,17009.72545938,19554.82401846,412.5,,,2125.87669321,12926.66016566,3185.07983859,7615.70363385,-587.60525229,4083.06529373,,,,,,,,,,,58,66.9,53.9,,52,4670.67054602,,,,,,,,,,,,,,,,,,,,,55.3,46.2,,58.4,,,,,,,,,,,,,,,,,,,4083.37,1538.27144092,-2545.09855908,48.1,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2000,,,-744.8338181,20064.85100619,20809.68482429,462.2,,,4511.24431131,15731.5230691,3412.2913,7807.98745778,-448.00812942,4333.32793709,3.64508466,10.31652344,6.63205794,4.28049325,5.91981244,,6.29678804,2.88478958,12.32249155,,59.1,71.3,54.9,,51,4781.33606651,,,,,,,,,,,,,,,,,,,1433351,,55.6,45.2,,58.2,105848.9,61306.58,,,,,,,,,,,,,,,,,4808.07,4063.23618189,-744.8338181,49.8,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2000,,,493.46026134,18985.82973911,18492.36947777,470,,,4621.66636288,14816.47618508,3382.20791899,6812.60190321,-641.37610154,4169.35355403,,,,,,,,,,,59.1,68.1,53.1,,52.2,4810.72965557,,,,,,,,,,,,,,,,,,,,,56,43.7,,58.1,,,,,,,,,,,,,,,,,,,3486.83,3980.29026134,493.46026134,49.2,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2000,,,-2365.36753686,19180.61583315,21545.98337001,476.5,,,3587.40104339,14808.38868985,3446.28849215,7774.69915431,-623.19858025,4372.2271433,,,,,,,,,,,57.7,66,55.1,,52.2,4995.42572355,,,,,,,,,,,,,,,,,,,,,54.9,43.6,,55.3,,,,,,,,,,,,,,,,,,,5329.57,2964.20246314,-2365.36753686,49.7,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2000,,,-4912.64700232,18074.28449952,22986.93150184,535.9,,,2218.43572256,13654.60225164,2943.85400332,8492.31252576,-637.01272489,4419.68224788,4.21182594,8.09368071,6.01602007,4.11201623,7.66766041,,4.42224592,2.72348594,9.03757347,,56.1,63.2,53.3,,51,5056.69497276,,,,,,,,,,,,,,,,,,,1488500.25,,53.8,44.5,,54.5,100398.7,58166.69,,,,,,,,,,,,,,,,,6494.07,1581.42299768,-4912.64700232,49.6,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2000,,,-2543.59771997,18514.42088464,21058.01860461,507.6,,,1064.19182697,13967.84932526,3238.76693937,9664.89055892,-653.12954695,4546.57155937,,,,,,,,,,,55.8,63.4,52.7,,51.7,5199.70110632,,,,,,,,,,,,,,,,,,,,,54.3,44.7,,55.3,,,,,,,,,,,,,,,,,,,2954.66,411.06228003,-2543.59771997,50.7,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2000,,,813.27533265,20642.34224338,19829.06691073,574.7,,,3894.85423399,15980.63531602,3379.99428147,8705.78680056,-598.75890135,4661.70692736,,,,,,,,,,,53.4,58.6,52,,49.9,5260.4658287,,,,,,,,,,,,,,,,,,,,,52.7,45.7,,54.2,,,,,,,,,,,,,,,,,,,2482.82,3296.09533265,813.27533265,49.8,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2000,,,1218.53662826,18676.54922518,17458.01259692,611.1,,,2426.45946773,14175.99359465,3286.42310015,8463.11102677,-833.68283948,4500.55563053,3.22490986,7.28641373,2.53940544,5.27020544,7.88959714,,3.26871491,2.23025656,9.32257803,,53.7,61.6,51.6,,50.5,5334.23847,,,,,,,,,,,,,,,,,,,1586096.66,,52.1,47.2,,52.6,100037,58986.32,,,,,,,,,,,,,,,,,374.24,1592.77662826,1218.53662826,49,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2000,,,-2109.74968081,19831.81821344,21941.56789425,643.2,,,1981.22772144,15336.65046569,3287.03121668,10068.39152757,-910.36740225,4495.16774776,,,,,,,,,,,52.1,59.9,50.2,,49.3,5405.53515,,,,,,,,,,,,,,,,,,,,,51.2,47.9,,51.9,,,,,,,,,,,,,,,,,,,3180.61,1070.86031919,-2109.74968081,48.8,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2000,,,-2002.89570273,19974.90757173,21977.80327446,616.2,,,2685.11328218,15457.60396304,3724.62320585,9047.86747501,-1368.18898491,4517.30360869,,,,,,,,,,,52.5,58.3,49.8,,48.5,5885.4925936,,,,,,,,,,,,,,,,,,,,,50.7,49.4,,52,,,,,,,,,,,,,,,,,,,3319.82,1316.92429727,-2002.89570273,47.2,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2000,38437.19647877,,-5491.56204842,25340.9540338,30832.51608222,778.3,,6774986.41122202,165.41544584,17670.75625001,3618.99596357,13886.3448406,-2044.77749426,7670.19778379,1.12365776,5.14404291,2.7705831,3.98402434,4.25616889,,2.57731959,3.16720075,5.35405487,,48.1,57.4,49.7,,45.7,9714.97527805,,,,,,,,,,,,,,,,,,5918748.46327201,1635800.9,6751595.03450384,47.9,49,,48.1,92447.8,54974.41,,,,,,,,,,,,10860.44928523,,,,,3612.2,-1879.36204842,-5491.56204842,45.9,,,,338.02541057,,,,,,,,,,,,,,2885.38537386,,,,,,
01/01/2001,,,-3199.0556013,22521.92591534,25720.98151664,582.6,,,3227.14479925,17902.37572314,4357.6220402,10317.6088837,-640.48040054,4619.5501922,,,,,,,,,,,46.8,59.5,48,,45.7,5260.03059274,,,,,,,,,,,,,,,,,,,,,46.7,50.9,,46.1,,,,,,,,,,,,,,,,,,,5785.72,2586.66439871,-3199.0556013,46.4,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2001,,,-1507.40270295,18327.28160102,19834.68430397,586.7,,,1164.61155035,13547.56435675,3820.28306651,8562.6697399,-522.0742533,4779.71724427,,,,,,,,,,,45.8,53.2,47.6,,43,5301.79149757,,,,,,,,,,,,,,,,,,,,,46.1,50.9,,46.6,,,,,,,,,,,,,,,,,,,2149.94,642.53729705,-1507.40270295,47.4,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2001,,,-703.4977565,21471.71581398,22175.21357048,634,,,4427.27237809,16824.28459557,3319.44860333,9077.56361415,-800.62013459,4647.43121841,1.73563722,1.78141737,2.14611695,2.62932386,2.86935085,,-0.87434889,1.79300918,4.96589239,,47,49,48.5,,44,5448.051353,,,,,,,,,,,,,,,,,,,1695647.71,,46.3,52.6,,46.4,94656.44,55929.8,,,,,,,,,,,,,,,,,4330.15,3626.6522435,-703.4977565,47.5,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2001,,,5243.1999663,24429.43318694,19186.23322064,682.6,,,7263.26235811,19647.08902156,3632.52399,8751.30267345,-682.41239181,4782.34416538,,,,,,,,,,,46.2,46.9,45.9,,42.7,5464.75655719,,,,,,,,,,,,,,,,,,,,,45.7,53.4,,47.1,,,,,,,,,,,,,,,,,,,1337.65,6580.8499663,5243.1999663,44.6,,,,,,,,,,,,,,,,,,,,,,,,
