,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
15/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
16/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
17/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
18/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
19/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
20/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
21/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
22/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
23/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
24/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
25/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.1,4.35,4.2,4.26,4.55,4.4,4.45,4.8,4.65,4.7,4.75,4.75,4.8,4.9,5,,,
26/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
27/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
28/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
29/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
30/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
01/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6,,,47.3,47.2,48.2,53.2,58.5,,,,,,,,,,,,,,,3738.76,4340.76,602,,48.5,54.4,,54.9,,,31586,30984,602,1224,,,6341.50816062,24620.20379724,4428.98081983,13849.7148168,-2000.64568103,6965.49338168,8966.13906271,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
02/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
03/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
04/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
05/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
06/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
07/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
08/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
09/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.61,4.9,4.75,4.8,4.85,4.85,4.9,5,5.1,,,
10/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
11/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
12/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
13/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
14/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
15/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
16/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.13,4.35,4.28,4.3,4.65,4.55,4.85,4.8,5,5.1,5.1,5.15,5.15,5.2,5.3,,,
17/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
18/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
19/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
20/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
21/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
22/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
23/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.38,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
24/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
25/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
26/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
27/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
28/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
29/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
30/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.65,4.6,4.85,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
31/10/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
01/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,,,49.3,48.3,51.7,56.5,60.6,,,,,,,,,,,,,,,6666.56,2367.56,-4299,,47.7,56.4,,54.8,,,29625,33924,-4299,1112.9,,,5610.46254603,23056.12649225,5391.16320849,12054.50073773,-3221.68194252,6568.4909816,9790.17292412,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
02/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
03/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
04/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
05/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
06/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.16,4.4,4.4,4.4,4.7,4.6,4.75,5.1,5.1,5.2,5.25,5.3,5.3,5.4,5.5,,,
07/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.75,4.65,4.75,5.1,5.2,5.3,5.35,5.4,5.4,5.5,5.6,,,
08/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.75,4.65,4.75,5.1,5.2,5.3,5.35,5.4,5.4,5.5,5.6,,,
09/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.75,4.65,4.75,5.1,5.2,5.3,5.35,5.4,5.4,5.5,5.6,,,
10/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.75,4.65,4.75,5.1,5.2,5.3,5.35,5.4,5.4,5.5,5.6,,,
11/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.95,4.65,5.15,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
12/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.95,4.65,5.15,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
13/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.28,4.6,4.51,4.64,4.95,4.65,5.15,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
14/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
15/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
16/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
17/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
18/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.3,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
19/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
20/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
21/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
22/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
23/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
24/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
25/11/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.39,4.7,4.62,4.74,5,4.8,5.05,5.5,5.3,5.4,5.45,5.5,5.5,5.6,5.7,,,
